,Zipcode,Eligible2016,Gentrified2016,Eligible2020,Gentrified2020
1,60601.0,0,0,0,0
2,60602.0,0,0,0,0
3,60603.0,0,0,0,0
4,60604.0,0,0,1,0
5,60605.0,0,0,0,0
6,60606.0,0,0,0,0
7,60607.0,0,0,0,0
8,60608.0,1,0,1,1
9,60609.0,1,0,1,0
10,60610.0,0,0,0,0
11,60611.0,0,0,0,0
12,60612.0,1,0,1,0
13,60613.0,1,0,1,0
14,60614.0,0,0,0,0
15,60615.0,1,0,1,1
16,60616.0,1,0,1,1
17,60617.0,1,0,1,0
18,60618.0,1,0,1,1
19,60619.0,1,0,1,0
20,60620.0,1,0,1,0
21,60621.0,1,0,1,0
22,60622.0,0,0,0,0
23,60623.0,1,0,1,0
24,60624.0,1,0,1,0
25,60625.0,1,0,1,1
26,60626.0,1,0,1,0
27,60628.0,1,0,1,0
28,60629.0,1,0,1,0
29,60630.0,1,0,1,1
30,60631.0,0,0,0,0
31,60632.0,1,0,1,0
32,60633.0,1,0,1,0
33,60634.0,1,0,1,0
34,60636.0,1,0,1,0
35,60637.0,1,0,1,0
36,60638.0,1,0,1,0
37,60639.0,1,0,1,0
38,60640.0,1,0,1,0
39,60641.0,1,0,1,1
40,60642.0,0,0,0,0
41,60643.0,1,0,1,0
42,60644.0,1,0,1,0
43,60645.0,1,0,1,0
44,60646.0,0,0,0,0
45,60647.0,1,0,1,1
46,60649.0,1,0,1,0
47,60651.0,1,0,1,0
48,60652.0,1,0,1,0
49,60653.0,1,0,1,0
50,60654.0,0,0,0,0
51,60655.0,0,0,0,0
52,60656.0,1,0,1,1
53,60657.0,0,0,0,0
54,60659.0,1,0,1,0
55,60660.0,1,0,1,0
56,60661.0,0,0,0,0
57,60707.0,1,0,1,0
58,60827.0,1,0,1,0
