zip,year,property_crime,violent_crime,homicide,college,non_hip_white,rent_burdened,vacancy,severe_rent_b,med_rent,perc_under_18,perc_over_65,unemp_rate,eviction_rate,gardens,park_area
60601,2012,6471.6064,462.962,0.5812,80.76824584,66.01981412,,19.72918249,,1726,10.20289855,7.652173913,0.046680018,0.519465,1,0
60601,2016,6645.948,435.6814,0.5812,76.82160804,66.36728733,36.497715,16.87159847,19.31865393,1973,24.98694517,13.81201044,0.053606806,0.818005,1,0
60601,2019,1609.84212,140.90324,0.23964,83.45129761,59.3536829,36.77032188,15.92476489,18.8761593,2289,26.19047619,20.5952381,0.046620745,0.351791703,1,0
60602,2012,809.6934,58.9149,0.0903,83.39100346,61.27080182,,16.18421053,,1792,5.3894081,0.15576324,0.027586207,0.641695,0,5.590943296
60602,2016,824.9727,55.6381,0.107,88.249694,72.20447284,45.12195122,14.50704225,31.2195122,2255,4.182509506,0.494296578,0.008,0.894205,0,5.590943296
60602,2019,197.59506,17.60288,0.04588,93.18507891,49.74937343,37.03703704,10.20220588,10.55555556,2713,4.369501466,30.16574586,0.00209205,2.908293752,0,5.590943296
60603,2012,1122.7882,81.2531,0.2201,82.76836158,62.92134831,,38.87587822,,1923,0.184501845,0.664206642,0.04400978,1.505256,0,0
60603,2016,1074.7829,73.1253,0.2622,96.15384615,55.49076774,28,40.78780178,18.22222222,2343,1.901140684,1.140684411,0.073208723,1.607344,0,0
60603,2019,246.87882,20.5202,0.06832,95.24348811,58.34738617,19.04761905,23.33333333,12.16931217,2288,0.512820513,1.314102564,0.090647482,3.465160075,0,0
60604,2012,1162.7758,91.2854,0.2408,82.51928021,82.00934579,,32.47663551,,1776,0.228136882,0.247148289,0.126582278,1.519479,0,2.561176021
60604,2016,1145.849,87.7499,0.3754,87.01030928,58.31987076,16.37931034,29.44444444,14.22413793,1964,0.964125561,0.695067265,0.025462963,1.560796,0,2.561176021
60604,2019,260.08338,25.38078,0.17214,91.46341463,69.5473251,45.9375,15.14563107,42.8125,2106,1.118012422,0.683229814,0.075125209,2.921737102,0,2.561176021
60605,2012,11633.9454,984.919,4.3732,73.62376008,55.79149736,,10.2194539,,1605,57.02064897,12.94985251,0.043743969,1.553026303,1,115.4532408
60605,2016,10839.2012,978.1279,4.468,78.44375414,56.3385043,43.19708029,10.20022922,25.35766423,1847,76.09756098,22.65243902,0.04922697,0.805462546,1,115.4532408
60605,2019,2350.67174,292.4523,2.03294,78.36713044,57.20193861,32.86232823,7.616288976,18.30438164,2053,71.75595238,16.75595238,0.039161924,0.856180813,1,115.4532408
60606,2012,1754.3171,124.5921,0.2414,89.51446281,78.19924969,,19.84691088,,1846,5.080906149,0.355987055,0.020738493,1.187745,0,8.645646988
60606,2016,1583.8095,107.7234,0.2414,94.17731029,73.69644636,28.69641295,14.35304199,12.16097988,2060,6.151515152,6.090909091,0.023178808,0.90709,0,8.645646988
60606,2019,358.00536,28.37252,0.15754,94.16182998,57.2721598,12.42680547,14.88661302,4.359141184,2215,3.278236915,7.548209366,0.021033868,0.807749897,0,8.645646988
60607,2012,10041.1975,1018.7511,9.4106,70.811694,53.5197924,,11.47160138,,1412,91.5210356,9.029126214,0.097396936,1.413919,1,4.458411009
60607,2016,9149.4277,916.0707,4.0906,77.0904325,52.9372379,45.05395683,8.801580334,24.80515588,1683,99.14754098,11.93442623,0.062340561,0.533429,1,4.458411009
60607,2019,2084.75236,255.4583,1.06896,78.75722543,53.01920412,39.63422433,10.7976269,25.94960992,1985,104.0066225,13.70860927,0.066119161,0.326463136,1,4.458411009
