zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,med_age_change,perc_white_change,perc_hs_grad_change,perc_employed_change
60077,2012,60145,290700,1036,0.603977273,44.2,0.923937839,0.197109738,0,0,0,0,0,0,0
60089,2012,93561,313900,1232,0.805672874,42.1,0.942026578,0.128523877,0,0,0,0,0,0,0
60016,2012,57972,235500,992,0.686632361,39.7,0.929774115,0.238083292,0,0,0,0,0,0,0
60022,2012,190995,932400,1734,0.939973213,42.7,0.941159989,0.033809892,0,0,0,0,0,0,0
60154,2012,69989,262100,1519,0.685507073,45.4,0.927737311,0.230172205,0,0,0,0,0,0,0
60029,2012,169250,838600,1519,0.860670194,40,0.897119342,0.036363636,0,0,0,0,0,0,0
60131,2012,55186,204600,815,0.783500582,36.8,0.90121109,0.302684228,0,0,0,0,0,0,0
60153,2012,43770,167100,870,0.138834911,36.4,0.804244673,0.279297492,0,0,0,0,0,0,0
60162,2012,52395,200600,866,0.323992134,39.8,0.871321812,0.229263914,0,0,0,0,0,0,0
60467,2012,90709,328500,1391,0.930225541,44.5,0.913030303,0.254310584,0,0,0,0,0,0,0
60482,2012,55253,184100,892,0.91447548,37.7,0.88940857,0.357429719,0,0,0,0,0,0,0
60558,2012,137331,550000,2001,0.981638528,42.7,0.936903766,0.076176434,0,0,0,0,0,0,0
60611,2012,87094,505800,1556,0.786122786,42.9,0.924899745,0.040424517,0,0,0,0,0,0,0
60616,2012,42218,297000,879,0.290137568,36,0.868084191,0.211902825,0,0,0,0,0,0,0
60651,2012,30963,197800,933,0.151245188,31.5,0.793738627,0.301059921,0,0,0,0,0,0,0
60172,2012,77073,273700,1027,0.834232305,37.4,0.923603756,0.205296792,0,0,0,0,0,0,0
60176,2012,41862,228000,861,0.796384315,34.2,0.891537185,0.340459128,0,0,0,0,0,0,0
60203,2012,121000,446100,1292,0.825630252,39.4,0.934150772,0.053706755,0,0,0,0,0,0,0
60301,2012,51688,174800,1359,0.60356832,44.7,0.907153729,0.083423619,0,0,0,0,0,0,0
60302,2012,72026,402000,961,0.679741807,38.9,0.926029347,0.066814848,0,0,0,0,0,0,0
60304,2012,89806,358200,992,0.702589953,37.4,0.925955573,0.076680119,0,0,0,0,0,0,0
60165,2012,44886,171500,896,0.478146499,29.2,0.909090909,0.224410834,0,0,0,0,0,0,0
60192,2012,110913,350900,1849,0.725995743,39.7,0.93464256,0.163424125,0,0,0,0,0,0,0
60202,2012,69465,309100,1067,0.650792672,37.9,0.914919526,0.106177606,0,0,0,0,0,0,0
60411,2012,43983,122600,934,0.381408229,31.4,0.811156065,0.296053402,0,0,0,0,0,0,0
60803,2012,52027,180400,873,0.755756939,35.3,0.869483715,0.298626466,0,0,0,0,0,0,0
60164,2012,58537,192100,835,0.656844192,34.7,0.91276197,0.292995914,0,0,0,0,0,0,0
60173,2012,64127,238900,1212,0.574369027,31.9,0.939567818,0.121068455,0,0,0,0,0,0,0
60415,2012,49916,176500,854,0.859888756,36.6,0.889654324,0.299533221,0,0,0,0,0,0,0
60439,2012,92731,373800,891,0.938125847,41.5,0.90279077,0.220786072,0,0,0,0,0,0,0
